learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.015,2,8,10,10,1
7,10,7,8,9
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,57552.24624023437,0.5225,16370.699129702896,0.805,35235.58398952112,0.73,6.877142906188965,_
0,1,45721.857202148436,0.5475,41064.97724609375,0.66,63123.05283203125,0.57,6.324585676193237,_
0,2,57005.101086425784,0.5075,75366.56435546876,0.595,88270.7630859375,0.495,6.278489351272583,_
0,3,54530.50551757812,0.515,66108.70234375,0.6,65776.68212890625,0.525,6.336638927459717,_
0,4,61239.41220703125,0.5,71802.9171875,0.59,96279.85322265625,0.495,6.477620363235474,_
0,5,66969.54553222656,0.5275,29400.376208496094,0.705,51986.633801269534,0.625,6.336579322814941,_
0,6,77276.35844726562,0.5075,40344.43515625,0.665,63719.83268585205,0.56,6.512796878814697,_
0,7,67603.43413085937,0.495,21836.698834228515,0.755,31541.090466308593,0.705,6.417698383331299,_
0,8,70728.36513671876,0.4925,36456.548046875,0.67,46816.85991210937,0.605,6.373952388763428,_
0,9,76795.46708984375,0.48,97108.94091796875,0.59,115748.7763671875,0.495,6.291344881057739,_
0,10,80469.01684570312,0.4775,79030.97548828126,0.59,107620.3169921875,0.495,6.168412923812866,_
0,_,80469.01684570312,0.4775,79030.97548828126,0.59,107620.3169921875,0.495,_,105.71444344520569
1,0,46544.12395019531,0.6375,72674.50732421875,0.495,60976.222265625,0.55,6.349663019180298,_
1,1,41635.871752929685,0.6275,73658.74482421875,0.49,66669.12109375,0.53,6.39546012878418,_
1,2,46506.15969238281,0.5925,22515.180551160873,0.735,18213.697018585353,0.755,6.355472564697266,_
1,3,51503.12199707031,0.585,49115.21176757813,0.585,46981.58698730469,0.605,6.483790874481201,_
1,4,46675.10478515625,0.59,133229.61328125,0.45,114954.96396484374,0.52,6.812925338745117,_
1,5,57290.81459960937,0.5425,93590.191796875,0.455,80389.73154296874,0.525,6.452204465866089,_
1,6,63706.2341796875,0.5275,87601.033984375,0.45,77228.24482421875,0.525,6.423510789871216,_
1,7,66731.71860351562,0.5275,66266.715234375,0.49,61961.28227539062,0.56,6.351926803588867,_
1,8,72101.6431640625,0.5275,93452.1724609375,0.45,87126.2154296875,0.53,6.359878301620483,_
1,9,72461.19106445313,0.525,105020.67890625,0.45,94379.65205078125,0.52,6.6874167919158936,_
1,10,81368.652734375,0.5175,66841.8650390625,0.515,63737.69372558594,0.55,6.382192850112915,_
1,11,84958.40825195312,0.515,90155.43779296875,0.45,81204.54921875,0.53,6.3103187084198,_
1,12,81577.85688476563,0.52,99435.1017578125,0.45,91242.0765625,0.52,6.332959175109863,_
1,_,81577.85688476563,0.52,99435.1017578125,0.45,91242.0765625,0.52,_,125.9219446182251
2,0,61458.07413330078,0.5275,68422.86628417969,0.6,68034.2720703125,0.51,6.377490282058716,_
2,1,62954.446557617186,0.525,52784.032214355466,0.635,51426.37509765625,0.56,6.941695928573608,_
2,2,51391.058203125,0.585,63695.66064453125,0.595,76309.00244140625,0.5,6.200774192810059,_
2,3,54091.423327636716,0.555,77224.80600585937,0.595,84394.8400390625,0.495,6.4066548347473145,_
2,4,65242.793774414065,0.5125,11779.528955246507,0.865,23380.740737927707,0.79,6.298231601715088,_
2,5,99805.980078125,0.4675,60039.10966796875,0.6,72699.12392578126,0.515,6.300699710845947,_
2,6,95314.94765625,0.4625,44514.2703125,0.64,68321.20190429688,0.575,6.363103628158569,_
2,7,69175.24581298829,0.5375,65129.2515625,0.6,87721.52978515625,0.5,6.440700054168701,_
2,8,78275.9214477539,0.49,103763.1494140625,0.59,131625.9111328125,0.495,6.301902532577515,_
2,9,87422.39936523438,0.4675,44668.29287109375,0.645,64245.14118652344,0.55,6.321636438369751,_
2,10,96140.05834960938,0.46,70618.23291015625,0.59,99232.209765625,0.495,6.3002259731292725,_
2,11,107412.3169921875,0.46,20318.09193111509,0.79,41778.09292753637,0.69,6.301478624343872,_
